,document_n,topic
1227,1227,0
1228,1228,1
1229,1229,2
1230,1230,0
1231,1231,2
1232,1232,1
1233,1233,1
1234,1234,2
1235,1235,1
1236,1236,2
1237,1237,1
1238,1238,2
1239,1239,1
1240,1240,1
1241,1241,1
1242,1242,2
1243,1243,1
1244,1244,1
1245,1245,1
1246,1246,2
1247,1247,0
1248,1248,1
1249,1249,1
1250,1250,2
1251,1251,1
1252,1252,1
1253,1253,2
1254,1254,1
1255,1255,1
1256,1256,0
1257,1257,1
1258,1258,2
1259,1259,2
1260,1260,1
1261,1261,2
1262,1262,2
1263,1263,2
1264,1264,2
1265,1265,1
1266,1266,2
1267,1267,1
1268,1268,1
1269,1269,1
1270,1270,2
1271,1271,2
1272,1272,2
1273,1273,0
1274,1274,2
1275,1275,2
1276,1276,1
1277,1277,1
1278,1278,0
1279,1279,0
1280,1280,1
1281,1281,1
1282,1282,1
1283,1283,1
1284,1284,1
1285,1285,1
1286,1286,1
1287,1287,1
1288,1288,2
1289,1289,2
1290,1290,2
1291,1291,1
1292,1292,2
1293,1293,1
1294,1294,1
1295,1295,1
1296,1296,2
1297,1297,1
1298,1298,0
1299,1299,1
